Australien, , , Sydney, 
Deutsches Reich, Danzig-Westpreussen, Bromberg, Kulm, Brosowo, 
Deutschland, , , Berlin, 
Deutschland, Baden-Württemberg, Stuttgart, Stuttgart, 
Deutschland, Bayern, München, München, 
Deutschland, Berlin (West), amerikanischer Sektor, Tempelhof, 
Deutschland, Brandenburg, , Wriezen, 
Deutschland, Hamburg, Hamburg, Hamburg, 
Deutschland, Mecklenburg-Vorpommern, , Grabow, 
Deutschland, Niedersachsen, Lüneburg, Fallingbostel, 
Deutschland, Nordrhein-Westfalen, Hochsauerlandkreis, Wenningen, 
Deutschland, Nordrhein-Westfalen, Köln, Köln, 
Deutschland, Rheinland-Pfalz, Neustadt an der Weinstraße, Neustadt an der Weinstraße, 
England, , Berkshire, Windsor, 
Großbritannien, , , London, 
Russland, , , Stalingrad, 
USA, , , New York, 
